DELEVAR,VARINMODEL,nummissvar,modelnum,age3_lin_beta,age3_sp1_beta,age3_sp2_beta,gender_beta,R5EATA_beta,R5CANCRE_beta,R5DIABE_beta,heart1_beta,heart2_beta,R5HIBPE_beta,R5MEALSA_beta,R5MONEYA_beta,h5lvalone_beta,R5LUNGE_beta,R5PUSHA_beta,R5WALKSA_beta,bmi3_lin_beta,bmi3_sp1_beta,bmi3_sp2_beta,smoking1_beta,smoking2_beta,stroke1_beta,stroke2_beta
R5DIABE R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,46,0.0437811103,0.0773449069,-0.257601615,-0.229860509,0.3404026206,0.1048731556,,0.0244870534,-0.106094489,0.0947381955,0.2678122117,0.3913765402,-0.125716167,-0.041759031,,0.2163262489,0.0022191836,0.0224887252,-0.055702935,0.016313144,-0.081962033,0.2215800038,0.2445781737
R5DIABE R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,47,0.0409155269,0.0915762527,-0.293756448,-0.20431813,0.3706358957,0.1013754303,,0.0123514737,-0.119676503,0.091389915,0.3459074918,,-0.129208282,-0.059631918,0.1188439242,0.1922403008,0.0057737803,0.008938744,-0.015724914,0.0148590621,-0.081653363,0.2356649964,0.25820778
R5DIABE R5MEALSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,48,0.041104245,0.0881039707,-0.288494121,-0.204487948,0.3931984361,0.1002608211,,0.0178122388,-0.120243475,0.0899636779,,0.4383866681,-0.130966382,-0.043219938,0.1224514707,0.2004630968,0.0052158077,0.0135279388,-0.032519404,0.0131038034,-0.088045607,0.2089784242,0.245295285
R5DIABE R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,49,0.0419614981,0.0838558642,-0.276083157,-0.21029414,0.32173048,0.1042219821,,0.0146109479,-0.132782974,0.0908109383,0.2351473658,0.3825505599,-0.128387194,,0.1088837234,0.1854701849,0.0063621367,0.0118377086,-0.027931637,0.0118228829,-0.088167281,0.2152837785,0.2216371527
R5DIABE R5HIBPE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,50,0.0415137768,0.0870026614,-0.285713845,-0.214835914,0.3300274935,0.1034163343,,0.0236193406,-0.119017136,,0.2387242896,0.3826160108,-0.129448214,-0.055682038,0.1159290922,0.194662758,0.0083569371,0.0102298822,-0.02519648,0.0116828287,-0.087058492,0.2314652721,0.2351526252
R5DIABE H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,51,0.0390441079,0.0835350898,-0.273329101,-0.175018894,0.3388700573,0.1028563731,,0.0163685478,-0.126542609,0.0913213606,0.2468083804,0.3815323203,,-0.051311993,0.1071383742,0.1877680708,0.0061754005,0.0093245987,-0.018722646,0.011779959,-0.100487942,0.2145880895,0.2348222459
heart1 heart2 stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,52,0.0416817146,0.0881157827,-0.290049502,-0.211983665,0.3274925414,0.1099371101,0.1640126699,,,0.086581862,0.2417734193,0.3998319502,-0.131746325,-0.048012987,0.1141785914,0.1853195125,0.0065617957,0.0016991054,0.0064108375,0.0169923261,-0.080261318,,
heart1 heart2 smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,53,0.0426653381,0.0849522577,-0.278677916,-0.218254653,0.3254090941,0.1061380065,0.161527981,,,0.0771324751,0.2383744328,0.3732540436,-0.133333438,-0.05925586,0.10536047,0.1700249504,0.0067528814,0.0074549479,-0.012951544,,,0.2149771481,0.203183452
heart1 heart2 bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,54,0.0390460276,0.0868140964,-0.280883286,-0.214910242,0.3439669218,0.1046827984,0.1711526713,,,0.0858377911,0.2259568254,0.3672447609,-0.127412668,-0.061458157,0.1028470521,0.1928324178,,,,0.0143520457,-0.100521906,0.2055866644,0.193046991
heart1 heart2 R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,55,0.0412850622,0.0956209276,-0.303385511,-0.230427739,0.3421861434,0.1087976711,0.1782683087,,,0.0850764221,0.2843374797,0.3812687715,-0.129425695,-0.025104493,0.1513529301,,0.0021695593,0.0272982621,-0.066939594,0.018752715,-0.043322784,0.2302529988,0.2268315455
heart1 heart2 R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,56,0.0440561937,0.076990497,-0.255264659,-0.238906345,0.3447726311,0.106546393,0.1639167749,,,0.0811682637,0.2636813572,0.3836398604,-0.127550516,-0.043542062,,0.2029065645,0.0016549085,0.0184594533,-0.041081678,0.0144473491,-0.077617387,0.219174282,0.2214484095
heart1 heart2 R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,57,0.0410954999,0.091230081,-0.291364975,-0.216446415,0.3737671563,0.1030756749,0.1636420267,,,0.0773223552,0.3410961332,,-0.130484524,-0.062880691,0.1124725815,0.1786134523,0.0052603531,0.0049139971,-0.001170138,0.0129726979,-0.076533557,0.2309037912,0.2356850137
heart1 heart2 R5MEALSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,58,0.041489513,0.0871902427,-0.284644945,-0.215132533,0.397108614,0.1020630901,0.1609070938,,,0.0762831025,,0.4307478384,-0.132510694,-0.046807333,0.1164809074,0.1872149932,0.0045728462,0.0099988136,-0.019347737,0.0111051672,-0.082971407,0.2064356115,0.2211204787
heart1 heart2 R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,59,0.0423260672,0.0828224409,-0.271663589,-0.221707957,0.3259522542,0.1059265125,0.1613235607,,,0.076943688,0.2315281104,0.3755115716,-0.129977211,,0.1022065193,0.1713139103,0.0057641066,0.0081092498,-0.014099547,0.0095952704,-0.083221336,0.2110988301,0.1974283127
heart1 heart2 R5HIBPE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,60,0.0418182307,0.0864223329,-0.282573829,-0.224901946,0.3345116429,0.105149457,0.1738853978,,,,0.2353165932,0.3747498269,-0.131077808,-0.057224361,0.1093109746,0.180345603,0.0071817031,0.0069476443,-0.012072093,0.0100748548,-0.08185836,0.2258984762,0.2096342276
heart1 heart2 H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,61,0.0393532118,0.0827303289,-0.269784614,-0.185114575,0.3434581917,0.1047252041,0.1586000054,,,0.0779643974,0.2434825983,0.3738774352,,-0.054634213,0.1011910688,0.1745688372,0.0055161486,0.005674835,-0.004900766,0.0094738691,-0.095887209,0.2109079921,0.2119937306
R5HIBPE stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,62,0.040802899,0.0927858284,-0.303078001,-0.218628935,0.3420518979,0.1074621144,0.1813360646,0.0252162011,-0.108411875,,0.2427412386,0.4057056188,-0.132256909,-0.041645698,0.1213244287,0.1922602373,0.0081350233,0.001691911,0.0037040216,0.0153401924,-0.08554978,,
R5HIBPE smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,63,0.0418355056,0.0894949117,-0.291025391,-0.224444548,0.3394512839,0.1036373363,0.1774175946,0.0182098646,-0.130748246,,0.23978818,0.3773076901,-0.134012142,-0.052130106,0.11213735,0.1767706142,0.0079146168,0.0086297212,-0.019201203,,,0.2328586515,0.2189699292
R5HIBPE bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,64,0.038032524,0.091314011,-0.293306339,-0.219075553,0.3613084675,0.1018424776,0.190750965,0.0141214993,-0.139707836,,0.2260113994,0.3703006454,-0.127549674,-0.054384335,0.1103510561,0.2029054279,,,,0.0127226516,-0.10947001,0.2254247506,0.2102988283
R5HIBPE R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,65,0.0402515795,0.1003485387,-0.315558085,-0.239251539,0.3573337679,0.1058378615,0.1944175616,0.0361537051,-0.100543097,,0.285424383,0.3861644067,-0.130089914,-0.019375149,0.1578325023,,0.0034781541,0.0286201104,-0.073533473,0.0171447764,-0.046506608,0.2465892304,0.2410741899
R5HIBPE R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,66,0.0433013963,0.0808632365,-0.26563309,-0.246776235,0.3607116862,0.1040634649,0.1799551588,0.0247607102,-0.11682459,,0.265855361,0.3884656996,-0.127907104,-0.036692218,,0.2108078358,0.0026403143,0.0202454397,-0.049022344,0.0127955393,-0.082333957,0.2370854301,0.2378359487
R5HIBPE R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,67,0.040281306,0.0956569396,-0.303310969,-0.221122243,0.3882212449,0.1007607522,0.1798152634,0.0123446255,-0.131118142,,0.3442500396,,-0.1309993,-0.054666064,0.1197785426,0.1863373931,0.0063841068,0.0057951611,-0.006301688,0.0114805466,-0.082018754,0.2491974962,0.2519585584
R5HIBPE R5MEALSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,68,0.0406411205,0.0916700792,-0.29703778,-0.220411234,0.4119640441,0.0994436819,0.1768161347,0.0174500428,-0.132091222,,,0.4356300797,-0.132666672,-0.0387044,0.1234001423,0.1943640093,0.0055895587,0.011368002,-0.025994041,0.0096200127,-0.088750113,0.2238473552,0.2382642727
R5HIBPE R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,69,0.0414269559,0.0875662312,-0.284707718,-0.226335138,0.3418454863,0.103335843,0.1775481286,0.0147149379,-0.143521529,,0.2334088066,0.3794242071,-0.130339096,,0.1101444879,0.1797492255,0.0067141563,0.0096231458,-0.021118591,0.0086775423,-0.088226413,0.2300145476,0.2146470929
R5HIBPE H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,70,0.0385187645,0.0871137439,-0.281658831,-0.190036461,0.3580448836,0.102218986,0.1748946432,0.0162327298,-0.138492615,,0.2440090571,0.3783680848,,-0.04649976,0.108543079,0.1822525923,0.0067010332,0.0066022548,-0.010342753,0.0080737688,-0.101981757,0.2291932961,0.2282555876
R5MEALSA stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,71,0.040351651,0.0942888313,-0.307378706,-0.207669743,0.4051515386,0.1049997616,0.1671642172,0.0200212194,-0.108765076,0.0856939825,,0.4639375796,-0.133975984,-0.031070289,0.1286476046,0.1994105956,0.005215462,0.0050248393,-0.003955621,0.0165741602,-0.086815003,,
R5MEALSA smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,72,0.0416293092,0.0900577614,-0.292814483,-0.213681458,0.4018832112,0.1007265419,0.1645857335,0.013891013,-0.128842444,0.0761037008,,0.4338461815,-0.135342156,-0.041373693,0.1197894406,0.1842513132,0.0053454065,0.011695892,-0.026626616,,,0.2134872666,0.2309786709
R5MEALSA bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,73,0.0381602521,0.0915467916,-0.294036589,-0.209809142,0.4158834366,0.0993523118,0.1740023051,0.0093911849,-0.138505674,0.0845951203,,0.4261727463,-0.129291654,-0.042133317,0.1177799104,0.2070464996,,,,0.0139033161,-0.107029843,0.2050684291,0.2212743016
R5MEALSA R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,74,0.0399684272,0.1017202025,-0.319534926,-0.228050082,0.4341502599,0.1025783531,0.1814573144,0.0326089467,-0.096137201,0.0833131716,,0.4535063167,-0.131690665,-0.004612443,0.1693925342,,0.0003171615,0.0333464414,-0.085571921,0.0179578952,-0.047548239,0.2255254308,0.2583473486
R5MEALSA R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,75,0.0431569425,0.0810907543,-0.266275281,-0.237203029,0.4322969428,0.1008899735,0.1666946818,0.0209836071,-0.113897703,0.0803076834,,0.4525037605,-0.129253207,-0.02348052,,0.2215159295,-0.000432353,0.0242099651,-0.058644971,0.0138838085,-0.084623623,0.2162367505,0.254083705
R5MEALSA R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,76,0.0399897559,0.0964615266,-0.303908818,-0.208630654,0.4911176761,0.0951261371,0.1671635695,0.0084187236,-0.124934786,0.0769727584,,,-0.133495824,-0.038885328,0.1344000808,0.1998994329,0.0030712714,0.0099016108,-0.016169021,0.0111038185,-0.084673588,0.2328630966,0.2810918007
R5MEALSA R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,77,0.0411178024,0.0884761599,-0.287475547,-0.21573986,0.4041363873,0.1003871669,0.1643727982,0.0107340789,-0.141054324,0.0760667474,,0.4347302397,-0.13184889,,0.1179716282,0.1877953899,0.0039974479,0.0127687658,-0.028433573,0.0101871819,-0.08928278,0.2105568658,0.2277783217
R5MEALSA H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,78,0.0381794589,0.0879535013,-0.284057914,-0.179325771,0.4208485584,0.0988948727,0.162033016,0.0120947023,-0.137189899,0.0767570437,,0.4361345259,,-0.035312523,0.1161424769,0.1898671282,0.0039286871,0.0100387776,-0.01865874,0.0087825671,-0.103386081,0.2090396477,0.2417806376
R5MONEYA stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,79,0.0401424739,0.0976925669,-0.312047883,-0.207430449,0.3906977337,0.1066414785,0.1709021532,0.015313079,-0.107137449,0.0881048635,0.3607593763,,-0.131926392,-0.048813039,0.125990563,0.191753074,0.0064718759,-0.002161682,0.0199619442,0.0188443923,-0.080212049,,
R5MONEYA smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,80,0.0412063359,0.0938684771,-0.298557511,-0.213651272,0.3791574987,0.1021664336,0.1676872776,0.0083864873,-0.129785117,0.0775716843,0.3460169194,,-0.133383741,-0.056456545,0.1160132982,0.1763407593,0.0059026826,0.0063915726,-0.007315809,,,0.2386337292,0.2449439281
R5MONEYA bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,81,0.0378165195,0.0955701314,-0.300595524,-0.210995819,0.3962848019,0.1008543302,0.1770801628,0.0041087203,-0.138962372,0.0857483244,0.3345496211,,-0.127562432,-0.05725589,0.114333717,0.1988195838,,,,0.0157731848,-0.099156419,0.2293335333,0.2359777709
R5MONEYA R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,82,0.0396728197,0.1050790584,-0.324474432,-0.228773104,0.3988427251,0.1045663681,0.1832256328,0.0253507482,-0.09979214,0.0846679619,0.3941542246,,-0.129457496,-0.025602538,0.1607055203,,0.0015815292,0.0256309227,-0.059355156,0.0202721883,-0.041068847,0.2512987046,0.2667627705
R5MONEYA R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,83,0.0426672998,0.0857308532,-0.274575237,-0.237219956,0.4017571257,0.102288343,0.1696810356,0.0151355911,-0.115007833,0.0816643709,0.3769027807,,-0.127339743,-0.041016146,,0.2105340149,0.0005216112,0.0180685989,-0.03709732,0.0160227759,-0.0771013,0.2429834994,0.2647737421
R5MONEYA R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,84,0.0408129787,0.0921835034,-0.292967936,-0.216596723,0.3800566239,0.1018580325,0.1677972867,0.0047281096,-0.143268101,0.0776090813,0.3404730102,,-0.129914995,,0.11364808,0.1787766772,0.004918499,0.0068994177,-0.008025466,0.0112881434,-0.08355739,0.2360645027,0.2409445347
R5MONEYA H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,85,0.0378142979,0.0924813595,-0.292515648,-0.180758311,0.3958452482,0.1007318297,0.1652502966,0.0063496251,-0.13631274,0.0785179433,0.351553588,,,-0.051544895,0.1122362709,0.1813037485,0.0046782353,0.0045593705,0.0008216035,0.0110201204,-0.096689159,0.2352892031,0.2524054033
H5LVALONE stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,86,0.0383778244,0.0889290171,-0.289825707,-0.177238956,0.3508150313,0.1072565218,0.1648707051,0.0182763301,-0.116025828,0.0872018735,0.2515903496,0.4033365935,,-0.038346098,0.1129120375,0.1865710861,0.0062968517,0.0004466189,0.0110342135,0.0150347068,-0.099531825,,
H5LVALONE smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,87,0.0394600364,0.0859604767,-0.278804236,-0.183576404,0.3465965451,0.1032561084,0.1627416608,0.0125219768,-0.135480974,0.0782384991,0.2484138496,0.3763326895,,-0.049975556,0.1043837446,0.1708295279,0.0065005481,0.0070550522,-0.011443834,,,0.2187839665,0.2217624094
H5LVALONE bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,88,0.0359928984,0.0876529963,-0.280781926,-0.180479671,0.364184546,0.1020812245,0.17197985,0.007825917,-0.144924285,0.0863232825,0.2360492876,0.3704853247,,-0.04952973,0.1031044872,0.1949875372,,,,0.0123088325,-0.118944726,0.2104119265,0.212423988
H5LVALONE R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,89,0.0379263802,0.0962822919,-0.302321674,-0.197811376,0.365821731,0.1057462874,0.177536501,0.0287708119,-0.106521427,0.0846448905,0.2920559178,0.3844769037,,-0.017064221,0.1488935812,,0.0018585278,0.0262732506,-0.062948774,0.0166825676,-0.061715452,0.2305588569,0.2422720274
H5LVALONE R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,90,0.0408150179,0.0777888541,-0.254849704,-0.205126603,0.3668020326,0.1037636493,0.1640864759,0.0179909971,-0.123997315,0.0815964582,0.2720230005,0.3868221174,,-0.034095893,,0.2039955984,0.0011911117,0.0183106336,-0.040123374,0.01222679,-0.096517041,0.2217356942,0.2379422975
H5LVALONE R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,91,0.0389848745,0.0841459095,-0.272854639,-0.185837347,0.3501180065,0.1030514549,0.162580038,0.0088661076,-0.148403557,0.0778259802,0.2420286159,0.378348553,,,0.1026397611,0.1751524603,0.005084957,0.0081437206,-0.013323638,0.0083019576,-0.102350018,0.2157625359,0.2173278515
R5LUNGE stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,92,0.0412687548,0.0894034847,-0.292856976,-0.213587931,0.3332919084,0.1083649036,0.1671125339,0.0168467143,-0.120383269,0.0862010366,0.2402112617,0.4042325423,-0.131121601,,0.1147183106,0.1846691236,0.0062407914,0.0036111017,-0.000097865,0.0158101024,-0.085766965,,
