DELEVAR,VARINMODEL,nummissvar,modelnum,age3_lin_beta,age3_sp1_beta,age3_sp2_beta,gender_beta,R5EATA_beta,R5CANCRE_beta,R5DIABE_beta,heart1_beta,heart2_beta,R5HIBPE_beta,R5MEALSA_beta,R5MONEYA_beta,h5lvalone_beta,R5LUNGE_beta,R5PUSHA_beta,R5WALKSA_beta,bmi3_lin_beta,bmi3_sp1_beta,bmi3_sp2_beta,smoking1_beta,smoking2_beta,stroke1_beta,stroke2_beta
R5DIABE R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,46,0.0503522619,0.037086209,-0.239699825,-0.256518229,0.2650182362,0.0557663097,,-0.008688378,-0.090614177,0.0302694191,0.2249307922,0.2720789097,-0.018048971,-0.218256788,,0.2667637673,0.0151103635,-0.036205286,0.1111715358,-0.020220973,-0.181285167,0.2715712451,0.1607365375
R5DIABE R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,47,0.0495673413,0.039690742,-0.241971532,-0.234877354,0.284571786,0.0578327147,,-0.016326548,-0.101289617,0.0279347171,0.3040305914,,-0.022921661,-0.23049849,0.0993275667,0.2428965817,0.0173227781,-0.045367552,0.1392472049,-0.022843095,-0.180483283,0.2791983426,0.1645302869
R5DIABE R5MEALSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,48,0.0493933849,0.0386593892,-0.240744445,-0.240096632,0.3177959446,0.0549080474,,-0.01602798,-0.099386027,0.0252024151,,0.3338872838,-0.024031179,-0.222732776,0.1016230806,0.2514244069,0.0168462838,-0.040171144,0.1203777593,-0.021592989,-0.185475366,0.2676970935,0.1654759315
R5DIABE R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,49,0.050602124,0.0342674656,-0.230550649,-0.241216855,0.2597635573,0.0557729709,,-0.019256302,-0.146742109,0.028456628,0.1989060457,0.2645854303,-0.017968553,,0.0813220955,0.2254478766,0.0187517143,-0.042799049,0.1255084484,-0.038065666,-0.203565393,0.259724677,0.1524092344
R5DIABE R5HIBPE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,50,0.049391025,0.0395154367,-0.24628153,-0.241378087,0.2543925669,0.0544976281,,-0.012704078,-0.101753017,,0.2083933933,0.2636302777,-0.020275872,-0.229269391,0.0933819932,0.2430059717,0.0182233516,-0.043155166,0.1287946393,-0.022054097,-0.184193653,0.2707675289,0.1503064001
R5DIABE H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,51,0.0489619,0.0390336188,-0.244309601,-0.233636011,0.2558191023,0.0552205475,,-0.014951424,-0.10741231,0.0267612277,0.2106186414,0.263734309,,-0.228095294,0.0914849762,0.2411645108,0.0175139356,-0.04290067,0.1292564748,-0.022322791,-0.185765127,0.2675110189,0.1481303083
heart1 heart2 stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,52,0.0502270926,0.0368056381,-0.239478558,-0.240878155,0.2621678504,0.0549641414,0.0941602347,,,0.0250853796,0.2152660858,0.2758222926,-0.02324526,-0.228484264,0.0929597201,0.2386832844,0.0172951717,-0.045971761,0.1378309155,-0.015227166,-0.178032163,,
heart1 heart2 smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,53,0.0509605637,0.0385170895,-0.242108489,-0.25965919,0.2519646014,0.0546925858,0.0953909727,,,0.0169956052,0.2099289214,0.2566548356,-0.028675269,-0.245119075,0.0845681775,0.2181151619,0.019725606,-0.046685952,0.1372929218,,,0.2660441335,0.1374372308
heart1 heart2 bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,54,0.0480992578,0.0398120627,-0.245430255,-0.243226516,0.2448742818,0.053930474,0.1000274395,,,0.0214498124,0.2063024058,0.2570360761,-0.022049423,-0.238431359,0.0818480797,0.2354485933,,,,-0.019456155,-0.190970836,0.2628108435,0.1368527464
heart1 heart2 R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,55,0.0488367543,0.0513327854,-0.273165313,-0.259151964,0.2837571837,0.0612562444,0.1158525245,,,0.0279134782,0.2511266968,0.2651881335,-0.02226747,-0.191365938,0.1521563469,,0.0131974657,-0.021347919,0.0702179125,-0.012480719,-0.135438504,0.2829002478,0.1707339574
heart1 heart2 R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,56,0.0505450011,0.0358497374,-0.234730072,-0.263546256,0.2619257925,0.0545609174,0.0962613289,,,0.0190083191,0.222644056,0.267581741,-0.020172876,-0.223590384,,0.254357809,0.0151711525,-0.039196562,0.1195799697,-0.01928608,-0.176400548,0.2693034619,0.1519041562
heart1 heart2 R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,57,0.0497286142,0.0384392328,-0.23697249,-0.244434807,0.2813501773,0.0564870287,0.0960681052,,,0.0162222492,0.3015242554,,-0.024772039,-0.236230601,0.0925764925,0.231136855,0.0172884112,-0.047963894,0.1465258981,-0.021720284,-0.174848958,0.2760037436,0.1563317865
heart1 heart2 R5MEALSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,58,0.0495685006,0.0374937581,-0.236047443,-0.248926302,0.3155492556,0.053502182,0.0920496549,,,0.0140381607,,0.3297848376,-0.025983553,-0.228613995,0.0950893472,0.2398932579,0.0167845915,-0.042663091,0.1275101309,-0.020638242,-0.179924336,0.2649562071,0.156803862
heart1 heart2 R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,59,0.0509398703,0.0321454445,-0.222761862,-0.25184488,0.2583856653,0.0543152489,0.0993749772,,,0.0152455763,0.1962558144,0.2601016149,-0.020651092,,0.0723296278,0.2106317539,0.0188940804,-0.046090262,0.1346809154,-0.037672194,-0.197245501,0.2555785337,0.1417268726
heart1 heart2 R5HIBPE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,60,0.0495981842,0.0379772937,-0.240298455,-0.249323006,0.2524315142,0.0535208436,0.0956548506,,,,0.2073088417,0.2593582635,-0.022181087,-0.234829716,0.086198368,0.2305267758,0.017810109,-0.045403908,0.1355508748,-0.020848859,-0.178190542,0.2667698358,0.1404340852
heart1 heart2 H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,61,0.0491440248,0.037583426,-0.2386629,-0.242005938,0.2543354519,0.0538169843,0.0928785833,,,0.0153511717,0.2092534974,0.2598388251,,-0.23446256,0.0847655034,0.2294240579,0.0174932553,-0.045567656,0.1368242838,-0.02143039,-0.180414937,0.2647501394,0.1398190587
R5HIBPE stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,62,0.0502298488,0.0378912703,-0.243326011,-0.240483565,0.2609867588,0.0546974696,0.1019805008,-0.006095924,-0.099100582,,0.2180226952,0.278342569,-0.022285917,-0.218920613,0.0985475654,0.2450494914,0.0178923193,-0.04590874,0.1362673583,-0.0153724,-0.181761552,,
R5HIBPE smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,63,0.0509702796,0.0396627787,-0.246010309,-0.258107835,0.2490242313,0.0549217526,0.1021363159,-0.012670155,-0.105127237,,0.2124335439,0.2584676364,-0.027519031,-0.235227287,0.0897338651,0.2242176328,0.020084578,-0.046275381,0.134972053,,,0.2712963823,0.1451557113
R5HIBPE bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,64,0.0480555891,0.0410319898,-0.249690528,-0.240823344,0.2409162164,0.0539694574,0.1084404175,-0.017100062,-0.113075191,,0.2086870343,0.2586874879,-0.020715579,-0.227823565,0.0878320703,0.2432592,,,,-0.019640576,-0.196095338,0.2693229765,0.1453994082
R5HIBPE R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,65,0.0486632655,0.0525734965,-0.276787846,-0.261563536,0.2831925021,0.0604720551,0.1227114933,0.0082761755,-0.065571855,,0.2535150666,0.2671590881,-0.021706199,-0.184357247,0.1566175188,,0.0138282638,-0.021015596,0.0678695135,-0.012732149,-0.137115697,0.2868251929,0.1776217686
R5HIBPE R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,66,0.050573383,0.0367967586,-0.238030394,-0.263389741,0.2598613654,0.0546523582,0.1031577842,-0.009934641,-0.097218623,,0.2257429193,0.2699034246,-0.01891223,-0.213609627,,0.2617201015,0.0154133376,-0.038449575,0.1163328742,-0.01945541,-0.17971413,0.2746946535,0.160128651
R5HIBPE R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,67,0.0497372012,0.0394838255,-0.240519627,-0.241858059,0.2782653539,0.0568718319,0.1030365179,-0.017675593,-0.108263866,,0.3047234249,,-0.023434256,-0.225548434,0.0982662696,0.2379641172,0.0175688408,-0.04765333,0.1447114138,-0.021858131,-0.17893292,0.2816261598,0.1644073624
R5HIBPE R5MEALSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,68,0.0496178723,0.0384220477,-0.23935212,-0.246387478,0.3135470697,0.0538910294,0.0984097842,-0.017552129,-0.106009091,,,0.3323476595,-0.024803406,-0.218175694,0.1005881137,0.2465556445,0.0169980524,-0.042087251,0.1248200248,-0.020829193,-0.183889982,0.270311902,0.1643902207
R5HIBPE R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,69,0.0508221945,0.0339276274,-0.228671496,-0.248070511,0.25452261,0.0546730288,0.1071984821,-0.020719742,-0.152683262,,0.2004877827,0.2621911127,-0.018632872,,0.0805206196,0.2204903445,0.0189330326,-0.044927309,0.130408285,-0.036803878,-0.201287091,0.2627101209,0.1514673459
R5HIBPE H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,70,0.0491736274,0.0387033627,-0.242550788,-0.239972949,0.2509575817,0.0541807525,0.0998275334,-0.016298656,-0.114279334,,0.2117601133,0.2616255655,,-0.223356818,0.090501481,0.2362952609,0.017711888,-0.044927938,0.1339466076,-0.021544594,-0.184276577,0.2702560767,0.1476062911
R5MEALSA stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,71,0.0501584379,0.0377884021,-0.240232017,-0.238262936,0.3295238641,0.0553757927,0.0964219012,-0.009420064,-0.095299725,0.0269839479,,0.3534695553,-0.026768092,-0.213476087,0.1076060003,0.2546765253,0.0166090499,-0.043410168,0.129693959,-0.015064779,-0.183256901,,
R5MEALSA smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,72,0.0510419899,0.0388268652,-0.24073572,-0.257038677,0.3139517037,0.0550825552,0.0976018223,-0.015462199,-0.100501495,0.0186554984,,0.330365577,-0.031470006,-0.229774747,0.098597435,0.233566047,0.0190566004,-0.043610217,0.127107807,,,0.269263906,0.1609726957
R5MEALSA bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,73,0.0481439963,0.0402302057,-0.244408143,-0.239746214,0.305181799,0.054310638,0.1024493102,-0.020072462,-0.109521829,0.023420189,,0.329889331,-0.02456684,-0.221269583,0.0965422252,0.2516694535,,,,-0.019478499,-0.19677308,0.2667422081,0.1605380412
R5MEALSA R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,74,0.0487054626,0.0520532832,-0.271555585,-0.260470967,0.3619431714,0.0611441889,0.1176628114,0.0054715687,-0.05878501,0.0281479748,,0.3537877696,-0.026289919,-0.175407151,0.1696553617,,0.0119603597,-0.015728378,0.0529611371,-0.01220605,-0.137246782,0.2842432775,0.1991712536
R5MEALSA R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,75,0.0507256235,0.0356364802,-0.231601172,-0.264049817,0.3308900593,0.0550882686,0.0985680547,-0.012368815,-0.09106001,0.0208748077,,0.3479043368,-0.023028041,-0.206247196,,0.2741924997,0.0139363919,-0.034800108,0.1059981004,-0.019004407,-0.181342935,0.2726441115,0.1785102341
R5MEALSA R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,76,0.0500315221,0.0377293692,-0.228954407,-0.240687863,0.3975607563,0.0560223393,0.0984401711,-0.021099643,-0.096827775,0.0181623727,,,-0.030538678,-0.214188413,0.1164092321,0.2546794313,0.0163721066,-0.045385696,0.1385651322,-0.0215911,-0.180752333,0.2856604048,0.1993156217
R5MEALSA R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,77,0.0508310362,0.0332348592,-0.223961199,-0.247018181,0.3141642564,0.0550720593,0.1023455181,-0.023504445,-0.147746212,0.0182583834,,0.3292629187,-0.02272694,,0.0893514597,0.2298760069,0.0176849327,-0.041939154,0.1219594556,-0.036234725,-0.2031168,0.2612294016,0.1669439218
R5MEALSA H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,78,0.049108148,0.0380269841,-0.23762207,-0.238010128,0.315885911,0.0542851478,0.0954291931,-0.018974484,-0.109980432,0.0173876548,,0.3335386674,,-0.21733067,0.0993166957,0.2457047938,0.0166040717,-0.042151486,0.125913968,-0.021470115,-0.186509967,0.2682297114,0.1643090029
R5MONEYA stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,79,0.0503492232,0.0382979979,-0.239529946,-0.23328592,0.2943612486,0.0587077325,0.1009541641,-0.009402312,-0.098228153,0.0298380839,0.3208977139,,-0.024774901,-0.221082653,0.1055341381,0.2456589093,0.0173662447,-0.049604111,0.150986775,-0.01595561,-0.177849389,,
R5MONEYA smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,80,0.0511161394,0.0397940371,-0.241624097,-0.252612104,0.2772756165,0.0578814002,0.101801486,-0.015665322,-0.103876012,0.0212027357,0.3064010294,,-0.030020811,-0.236446608,0.0959872878,0.2248099778,0.0194015999,-0.048904705,0.1465207871,,,0.2798054232,0.1606792635
R5MONEYA bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,81,0.0483433353,0.0411442759,-0.245046379,-0.235719797,0.2707397908,0.0574007011,0.1062538002,-0.020347113,-0.112628255,0.0253330484,0.3034288592,,-0.023184864,-0.228167788,0.0941022383,0.2423228063,,,,-0.020416989,-0.190567387,0.2776293233,0.1610415453
R5MONEYA R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,82,0.0488376552,0.0529045644,-0.273011047,-0.254959355,0.3128972321,0.0641971699,0.1207959502,0.0042082398,-0.065348226,0.0303145322,0.3516167194,,-0.024258239,-0.186418451,0.1618821931,,0.0129038988,-0.023518679,0.0796755009,-0.013247768,-0.132849079,0.2943997677,0.193350599
R5MONEYA R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,83,0.0507715168,0.0370245842,-0.233757659,-0.258541544,0.2915111995,0.0579170193,0.1028623638,-0.012710306,-0.094810663,0.023318,0.3254737355,,-0.021379226,-0.21395011,,0.2636134761,0.0145136836,-0.040708891,0.127178105,-0.020011239,-0.176080267,0.284081996,0.1769298928
R5MONEYA R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,84,0.0510252139,0.0338464731,-0.223686655,-0.242333182,0.2860438308,0.058031342,0.1071588198,-0.023952906,-0.152060138,0.0207938023,0.2939305482,,-0.020921831,,0.0865433823,0.2212360361,0.0183478041,-0.047806121,0.1424866076,-0.037267496,-0.197841612,0.2721797132,0.1680760889
R5MONEYA H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,85,0.0492652425,0.0390571172,-0.238805319,-0.233667453,0.2802966626,0.0573638385,0.0998262157,-0.019300415,-0.112857126,0.0198221213,0.3070130362,,,-0.224580643,0.0967915277,0.2368664791,0.0171168335,-0.047668252,0.1457069283,-0.02239686,-0.181282082,0.2792172417,0.1633519019
H5LVALONE stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,86,0.0497600435,0.0373348145,-0.241081998,-0.231881628,0.2624499339,0.0555002172,0.0973258807,-0.008463382,-0.104883307,0.0280905007,0.2203173781,0.278191653,,-0.218081483,0.0965807198,0.2432918841,0.0171866264,-0.045635498,0.1368016247,-0.015837034,-0.183632037,,
H5LVALONE smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,87,0.0504279091,0.0392496248,-0.244233096,-0.248964481,0.2511114211,0.0553635947,0.0988078108,-0.014338616,-0.109952624,0.020369852,0.215078647,0.2590403725,,-0.234473806,0.0881340557,0.2228911678,0.0196683694,-0.04638047,0.1362681134,,,0.2688543896,0.1444461211
H5LVALONE bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,88,0.0476991211,0.0405212019,-0.247658147,-0.233316281,0.2430503838,0.0547089748,0.1037489806,-0.019052071,-0.118158821,0.0250040272,0.2109371765,0.2591347426,,-0.22658841,0.0863055305,0.2413216691,,,,-0.020077861,-0.196954974,0.2663323138,0.1439035946
H5LVALONE R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,89,0.0482644749,0.0517413474,-0.273935311,-0.252841545,0.2849634845,0.0612832455,0.1177624783,0.0056077363,-0.071445254,0.0292558564,0.2554885727,0.2672789738,,-0.183770002,0.1542587981,,0.0131397014,-0.021015499,0.0692619821,-0.013101575,-0.139117556,0.2830857169,0.175222959
H5LVALONE R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,90,0.0501677533,0.0364128946,-0.236458585,-0.255905318,0.2612321352,0.0552535355,0.0994653094,-0.011804297,-0.102031485,0.0220641176,0.2274999471,0.2699759801,,-0.212913938,,0.2600395228,0.0149125801,-0.038397295,0.1171927473,-0.019852489,-0.181447175,0.2719812323,0.1584306822
H5LVALONE R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,91,0.0504463207,0.0335023669,-0.227003059,-0.241143531,0.2559046761,0.0552494464,0.1039170565,-0.022333243,-0.156798085,0.0198552628,0.2025831971,0.2623753782,,,0.0791326411,0.219467359,0.0184610993,-0.044862969,0.1311754339,-0.03713651,-0.202936332,0.2604580026,0.1502713726
R5LUNGE stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,92,0.0514511682,0.0325760156,-0.227517414,-0.240415629,0.265930904,0.0566156489,0.1044618804,-0.013477552,-0.142178575,0.0286431744,0.2099867866,0.2793120471,-0.020013871,,0.0868272821,0.2279544369,0.0184957603,-0.046049249,0.134512327,-0.030732424,-0.200311891,,
